DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P51;P772;P773;P6169;P6169S1;P8564;P8564S1;P8566;P8566S1;P8568;P8568S1;P6191;P6191S1;P8572;P8572S1;P8574;P8574S1;P8576;P8576S1;P55;P774;P774S1;P774S2;P774S3;P775;P776;P776S1;P776S2;P776S3;P58;P58S1;P58S2;P777;P778;P779;P779S1;P779S1A1;P779S2;P779S2A1;P779S3;P779S3A1;P779S11;P779S11A1;P779S12;P779S12A1;P779S5;P779S5A1;P779S6;P779S6A1;P779S7;P779S7A1;P779S8;P779S8A1;P779S13;P779S13A1;P779S9;P779S14;P779S9A2
7566845;3;1;3;638.23572539;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;1;;;;;;;1;1;;;1;1;;;;;;;
7566846;6;1;6;581.15552407;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;3;;;3000;1;4;;;;;;;;;;;1;1;;;;;1;3;1;1;;;;;;;
7566846;7;1;7;581.15552407;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;2;;;;;1;4;;;;1;4;;;;;;;;;;;1;1;;;;;1;3;1;1;;;;;;;
7566847;5;1;5;524.09537095;2;7;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;1;3;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7566847;6;1;6;524.09537095;3;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;3;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
7566871;6;1;6;515.16024528;5;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;1;2;;;;;1;2;1;2;1;1;;;1;2;;;
7566871;8;1;8;515.16024528;5;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;1;2;1;2;1;1;;;1;2;;;
7566872;7;1;7;827.46585124;2;6;;;;;;;;;;;;;;;;;;1;3;;;15000;1;3;;;5000;1;1;;;;;1;3;1;3;1;4;;;;;1;3;1;3;1;3;;;;;;;
7566876;3;1;3;620.12168106;1;;4;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;2;;;;;;;1;1;;;;;;;1;2;1;2;1;1;;;;;;;
7566876;4;1;4;620.12168106;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;2;1;2;;;1;2;;;;;;;;;;;;;;;
7566878;3;2;3;452.80887888;1;;3;2;;2;;1;30000;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;2;;1;68;4;;;;;;;;;;;;;;;;1;1;;;;;;;
7566879;5;1;5;610.52014497;1;;3;1;20000;2;;2;;2;;2;;2;;2;;2;;1;3;;;10000;1;3;;;5000;1;1;;;;;;;1;2;;;;;;;;;;;;;;;;;;;
7566885;4;1;4;835.5281475;2;7;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;1;;;1;1;1;1;;;1;2;;;1;1;;;;;;;
7566895;3;1;3;4.1105655335;5;3;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;1;2;;;1;2;;;;;;;;;;;;;;;
7566898;5;1;5;10.173035129;1;;4;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;
7566898;6;1;6;10.173035129;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;
7566911;3;1;3;86.654491619;2;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;1;1;;;1;1;;;1;2;;;;;;;
7566914;5;1;5;140.34776067;5;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
7566939;3;1;3;96.389118997;5;3;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7566940;3;1;3;47.190636631;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;1;1;;;1;1;;;1;1;;;;;;;;;;;
7566943;2;1;2;37.356813973;2;3;;;;;;;;;;;;;;;;;;1;4;;;;2;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7566944;7;1;7;140.34776067;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;1;;;;1;1;;;;1;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
7566955;3;1;3;92.043345648;2;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;
7566956;4;1;4;100.67503123;1;;1;2;;2;;2;;1;14000;2;;2;;2;;2;;1;3;;;5000;2;;;;;2;;2;25;4;;;;;;;;1;1;;;1;1;1;2;;;;;;;;;
7566957;3;1;3;74.404776628;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;1;2;1;2;;;;;;;;;
7566959;3;1;3;148.48943936;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7566959;4;1;4;148.48943936;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;3;;;;;;;;;;;;;;;;;;;;;
7566964;4;1;4;116.25104709;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7566969;4;1;4;105.6705797;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;5000;1;3;;;5000;1;2;;;;;;;;;1;2;1;1;;;;;;;;;;;;;;;
7566971;3;1;3;77.297833311;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
7566982;4;1;4;148.43305194;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7566986;3;1;3;63.819253775;2;3;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;1;2;;;;;;;;;;;1;1;;;1;1;1;2;;;;;;;;;
7566990;7;1;7;113.24037624;5;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;2;;;;;;;1;1;;;;;;;
7566994;4;1;4;133.64049542;3;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;
7567005;2;1;2;71.665762213;2;4;;;;;;;;;;;;;;;;;;1;4;;;;2;;;;;1;1;;;;;;;;;;;;;;;;;1;3;1;1;;;;;;;
7567007;4;1;4;89.506867615;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7567021;4;1;4;138.6137106;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;3000;1;3;;;1000;1;1;;;;;;;;;1;2;;;;;;;;;;;;;;;;;
7567021;5;1;5;138.6137106;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;3000;1;3;;;1000;1;1;;;;;;;;;1;2;1;2;;;;;;;;;;;;;;;
7567033;5;1;5;59.48097923;1;;2;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;20000;1;3;;;3000;1;2;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7567054;5;1;5;154.68183243;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;4000;1;3;;;1200;1;2;;;;;;;;;;;1;1;;;;;;;1;1;;;;;;;
7567055;2;1;2;145.17000433;3;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;1;2;;;;;;;;;;;;;;;
7567056;5;1;5;195.99242359;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;1;2;1;2;;;;;;;;;
7567061;7;1;7;251.76258513;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;4;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
7567061;8;1;8;251.76258513;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;4;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
7567061;11;1;11;251.76258513;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;10;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
7567066;3;1;3;188.52925597;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
7567071;6;1;6;169.31793228;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;2000;1;3;;;1000;1;3;;;;;;;;;;;1;1;;;;;;;1;1;;;;;;;
7567072;4;1;4;134.97633234;1;;3;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7567081;7;1;7;184.02507149;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;6;;;;;;;;;;;;;;;1;2;;;;;;;;;;;
7567084;4;1;4;336.78232911;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7567091;3;1;3;65.158201934;2;4;;;;;;;;;;;;;;;;;;1;1;;;;1;4;;;;1;2;;;;;;;;;1;2;1;2;;;1;3;;;;;;;;;;;
7567093;2;1;2;265.47565728;4;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;2;;2;20;2;;;;;;;;1;1;;;1;1;;;1;1;;;;;;;
7567103;4;1;4;316.80238345;5;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;1;2;;;;;;;
7567121;7;1;7;441.59263365;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;5;;;;;;;;;;;1;1;;;;;1;2;1;1;;;;;;;
7567132;7;1;7;429.18417035;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;3;;;;;;;1;3;;;;;;;;;1;2;1;1;;;;;;;
7567134;5;1;5;373.77181852;2;4;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;3;;;;;1;2;;;1;2;1;4;;;;;1;1;1;1;1;2;;;;;
7567139;3;1;3;269.90895557;5;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;;;1;3;1;1;;;;;;;
7567139;4;1;4;269.90895557;5;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7567147;2;1;2;201.07423308;3;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;1;2;;;;;;;;;1;2;1;1;;;;;;;
7567147;3;1;3;201.07423308;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7567158;6;1;6;149.91475379;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;5;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;
7567165;5;1;5;171.51548693;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;4;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;
7567191;3;1;3;133.50347787;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;2;;;1;2;;;1;2;;;;;;;;;;;
7567194;4;1;4;244.80089045;2;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;
7567200;4;1;4;196.98434309;1;;3;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;2000;2;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;2
7567225;3;1;3;176.66805814;5;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;1;1;;;1;1;;;;;;;;;;;;;;;
7567232;4;1;4;223.73040482;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;1;1;1;2;;;;;1;3;;;;;;;;;
7567239;5;1;5;176.01750374;2;6;;;;;;;;;;;;;;;;;;2;;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
7567243;4;1;4;182.38401538;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;3;;;4000;1;2;;;;;;;1;2;1;2;;;;;;;1;2;1;1;;;;;;;
7567248;4;1;4;195.57500416;2;4;;;;;;;;;;;;;;;;;;2;;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7567248;5;1;5;195.57500416;2;4;;;;;;;;;;;;;;;;;;1;4;;;;2;;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7567260;5;1;5;81.226183399;5;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;2;;;1;1;;;1;1;;;;;;;
7567268;3;1;3;93.529713234;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7567271;3;1;3;112.79535107;1;;1;2;;1;12000;2;;2;;2;;2;;2;;2;;1;3;;;15000;1;3;;;2000;1;2;;;;;;;;;;;1;1;;;;;;;1;1;;;;;;;
7567275;5;1;5;61.999323114;2;6;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7567278;4;1;4;24.750832997;2;3;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;;;;;1;1;;;;;;;
7567282;2;1;2;16.68054436;1;;2;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;1;1;;;1;1;;;1;1;;;;;;;
7567286;5;1;5;21.860728031;1;;3;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;
7567288;8;1;8;33.288969908;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;7;;;;;;;1;1;;;1;1;;;;;;;;;;;;;;;
7567290;4;1;4;22.879260536;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7567291;6;1;6;32.642806434;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;5;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;
7567305;5;1;5;140.86091839;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;3;;;1500;1;3;;;;;;;;;;;1;2;;;;;;;;;;;;;;;
7567306;4;1;4;185.95076225;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;2;;;;;1;3;;;5000;1;1;;;;;;;;;;;;;;;1;2;1;2;1;1;;;;;;;
7567308;4;1;4;143.55310192;1;;3;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;6000;1;3;;;3000;1;3;;;;;1;1;;;;;1;1;;;1;1;1;2;1;1;;;1;1;;;
