DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S4A3;P784S4A4
7566948;1;1;1;35.086940167;1;912000
7567041;1;1;1;133.92331732;1;380000
7567158;1;1;1;149.91475379;1;960000
7567192;1;1;1;96.498545672;1;950000
7567255;1;1;1;139.22885045;1;981500
7567255;2;1;2;139.22885045;1;800000
7567263;1;1;1;98.813962961;1;1920000
7567329;1;1;1;240.58730788;1;280000
7567397;1;1;1;226.7969023;1;30000
7567398;1;1;1;350.46716665;1;912000
7567524;1;1;1;15.709435003;1;1200000
7567542;1;1;1;101.90674739;1;170000
7567542;2;1;2;101.90674739;1;170000
7567558;1;1;1;55.109622053;1;760000
7567558;2;1;2;55.109622053;1;1140000
7567656;1;1;1;190.02080527;1;99
7567663;1;1;1;202.91608001;1;99
7567694;1;1;1;192.75770125;1;76000
7567739;1;1;1;117.93106138;1;600000
7567802;1;1;1;38.33179645;1;800000
7567808;1;1;1;43.009343124;1;1500000
7567825;1;1;1;72.050280788;1;700000
7567829;1;1;1;125.00401894;1;800000
7567829;2;1;2;125.00401894;3;8400000
7568014;1;1;1;254.532225;1;300000
7568066;1;1;1;175.4095039;1;350000
7568071;1;1;1;190.52371646;1;600000
7568079;1;1;1;201.08624632;1;450000
7568111;1;1;1;51.379661841;1;304000
7568124;1;1;1;195.26356068;1;200000
7568159;1;1;1;140.63221317;1;500000
7568281;1;1;1;123.94451717;1;912000
7568284;1;1;1;183.36112185;1;1600000
7568330;1;1;1;143.31000361;1;456000
7568334;1;1;1;205.70972194;1;456000
7568347;1;1;1;204.61771019;1;456000
7568367;1;1;1;226.23724887;1;150000
7568487;1;1;1;5.2246691737;1;10920000
7568501;1;1;1;6.6006756799;1;400000
7568562;1;1;1;23.378297914;1;1920000
7568600;1;1;1;38.056499448;1;900000
7568607;1;1;1;81.420043757;1;450000
7568623;1;1;1;10.941714696;1;207000
7568627;1;1;1;24.441263991;2;500000
7568689;1;1;1;381.32357353;1;450000
7568693;1;1;1;449.22893551;1;76000
7568694;1;1;1;445.21959417;1;456000
7568695;1;1;1;319.9728024;1;456000
7568696;1;1;1;499.23058322;1;456000
7568698;1;1;1;460.45768937;1;900000
7568711;1;1;1;470.45243754;2;912000
7568742;1;1;1;370.32157323;1;200000
7568974;1;1;1;216.77380397;1;840000
7568980;1;1;1;79.183649187;1;380000
7568981;1;1;1;103.94411666;1;1920000
7569070;1;1;1;63.054367789;1;900000
7569100;1;1;1;211.49456796;1;386000
7569154;1;1;1;25.426443268;1;400000
7569184;1;2;1;72.949117411;1;450000
7569197;1;1;1;67.734187492;1;210000
7569205;1;1;1;30.19305998;1;400000
7569207;1;1;1;74.363661066;2;1800000
7569210;1;1;1;54.587436196;1;750000
7569212;1;1;1;54.468761723;1;500000
7569219;1;1;1;31.961800475;1;462000
7569273;1;1;1;46.242686568;1;800000
7569356;1;1;1;187.27062239;1;280000
7569371;1;1;1;207.96842227;1;200000
7569381;1;1;1;239.74985749;1;1200000
7569398;1;1;1;177.57770276;1;304000
7569529;1;1;1;214.28544901;1;1200000
7569566;1;1;1;77.625227096;1;240000
7569578;1;1;1;294.61425121;1;300000
7569599;1;1;1;208.88813981;1;300000
7569645;1;1;1;471.88954587;1;456000
7569657;1;1;1;185.58370818;1;160000
7569658;1;1;1;163.76403726;1;380000
7569679;1;1;1;50.75874354;1;456000
7569720;1;1;1;102.97197855;1;1600000
7569989;1;1;1;100.04233499;1;150000
7570505;1;1;1;218.14216915;1;420000
7570739;1;1;1;75.431384146;1;221000
7570754;1;1;1;40.793360732;1;300000
7570784;1;1;1;15.673837828;1;280000
7570789;1;1;1;17.655476062;1;840000
7570803;1;1;1;22.362429187;1;76000
7570810;1;1;1;25.687361125;1;76000
7570817;1;1;1;42.622850124;1;70000
7570824;1;1;1;10.078709038;1;750000
7570924;1;1;1;83.906346484;1;800000
7570932;1;1;1;90.908057942;1;75000
7570965;1;1;1;15.155682862;1;360000
7571055;1;1;1;392.0684066;1;640000
7571065;1;1;1;469.34394432;1;900000
7571118;1;1;1;323.57223984;1;532000
7571176;1;1;1;99.941483715;1;850000
7571179;1;1;1;61.678946086;1;850000
7571184;1;1;1;77.515909471;1;840000
7571201;1;1;1;33.45209736;1;1500000
7571202;1;1;1;48.8526209;1;480000
7571259;1;1;1;240.10527468;1;1000000
7571357;1;1;1;157.84242963;1;450000
7571439;1;1;1;57.48964601;1;400000
7571454;1;1;1;199.80082472;1;480000
7571458;1;1;1;235.57282552;1;75000
7571550;1;1;1;50.743510412;1;21000
7571578;1;1;1;226.92057611;1;912000
7571612;1;1;1;87.605587788;1;450000
7571667;1;1;1;65.485698193;1;76000
7571729;1;1;1;15.352022002;1;720000
7571732;1;1;1;14.093598763;1;4100000
7571732;2;1;2;14.093598763;1;400000
7571732;3;1;3;14.093598763;1;900000
7571744;1;1;1;72.783615608;1;900000
7571748;1;1;1;91.811854375;1;600000
7574534;1;1;1;277.27559771;1;50000
7574573;1;1;1;59.703861012;1;912000
7574610;1;1;1;41.144933857;1;225000
7574678;1;1;1;174.82011631;1;1400000
7574740;1;1;1;58.283714598;1;1720000
7574803;1;1;1;147.50561565;1;304000
7575078;1;1;1;221.98792714;1;37000
7575213;1;1;1;161.83011676;1;450000
7575236;1;1;1;158.29676726;1;11500000
7575238;1;1;1;116.03771725;1;300000
7575243;1;1;1;111.81825093;1;720000
7575244;1;1;1;96.965546613;1;228000
7575249;1;1;1;161.12315452;1;900000
7575355;1;1;1;111.55099626;1;300000
7575360;1;1;1;193.42192054;1;1920000
7575399;1;1;1;1082.9606608;1;440000
7575563;1;1;1;26.721541689;1;960000
7575639;1;1;1;4.693155639;1;1500000
7575718;1;1;1;51.256441939;1;450000
7575722;1;1;1;57.142207849;1;450000
7575733;1;1;1;62.854320962;2;1080000
7575747;1;1;1;69.614205987;1;500000
7575763;1;1;1;16.845700397;1;500000
7575861;1;1;1;7.6552477278;1;800000
7575965;1;1;1;151.09694951;1;1060000
7576069;1;1;1;103.64424378;2;720000
7576130;1;1;1;78.632538845;1;350000
7576135;1;1;1;215.01529453;1;380000
7576151;1;1;1;169.83357868;1;900000
7576187;1;1;1;219.54262661;1;1000000
7576316;1;1;1;97.236509351;1;1920000
7576333;1;1;1;59.600135306;1;350000
7576336;1;1;1;52.229682118;1;860000
7576340;1;1;1;55.67088907;1;225000
7576343;1;1;1;69.639576157;1;96000
7576350;1;1;1;78.159440954;1;350000
7576351;1;1;1;58.589097916;1;1200000
7576358;1;1;1;32.344948849;1;450000
7576362;1;1;1;101.82355087;1;350000
7576364;1;1;1;74.227852093;1;210000
7576372;1;1;1;65.445446071;1;423000
7576376;1;1;1;96.373424194;1;360000
7576377;1;1;1;82.751541485;1;450000
7576437;1;1;1;67.034404074;1;760000
7576625;1;1;1;96.234102766;1;2500000
7576625;2;1;2;96.234102766;1;2500000
7576672;1;1;1;15.081057603;1;150000
7576708;1;1;1;38.067527672;1;450000
7576708;2;1;2;38.067527672;1;1140000
7576710;1;1;1;79.799711995;1;280000
7576710;2;1;2;79.799711995;1;380000
7576713;1;1;1;38.067527672;1;75000
7576718;1;1;1;28.661272703;1;160000
7576749;1;1;1;134.14757658;1;100000
7576803;1;1;1;93.186357118;1;228000
7576825;1;1;1;169.21663027;1;152000
7576829;1;1;1;156.78140029;1;228000
7576831;1;1;1;122.57909717;1;152000
7576856;1;1;1;143.12371252;1;304000
7576916;1;1;1;161.61622524;1;456000
