DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S1A3
7566850;1;1;1;587.3801181;2
7566874;1;1;1;561.89136105;3
7566874;2;1;2;561.89136105;5
7566875;1;1;1;618.14219746;3
7566875;2;1;2;618.14219746;8
7566951;1;1;1;51.332238903;3
7566991;1;1;1;97.137057443;3
7567008;1;1;1;69.952183868;2
7567008;2;1;2;69.952183868;3
7567017;1;1;1;58.811908478;4
7567021;1;1;1;138.6137106;3
7567021;2;1;2;138.6137106;4
7567033;1;1;1;59.48097923;3
7567033;2;1;2;59.48097923;4
7567033;3;1;3;59.48097923;5
7567041;1;1;1;133.92331732;3
7567051;1;1;1;110.39519964;3
7567054;1;1;1;154.68183243;3
7567054;2;1;2;154.68183243;4
7567056;1;1;1;195.99242359;2
7567056;2;1;2;195.99242359;3
7567062;1;1;1;107.805325;3
7567065;1;1;1;176.76969533;2
7567084;1;1;1;336.78232911;1
7567165;1;1;1;171.51548693;5
7567183;1;1;1;90.987160213;4
7567183;2;1;2;90.987160213;5
7567187;1;1;1;113.02315034;3
7567187;2;1;2;113.02315034;4
7567194;1;1;1;244.80089045;3
7567194;2;1;2;244.80089045;4
7567196;1;1;1;232.1774559;5
7567196;2;1;2;232.1774559;6
7567203;2;1;2;151.96838537;3
7567203;1;1;1;151.96838537;2
7567203;3;1;3;151.96838537;4
7567206;1;1;1;177.10121842;2
7567206;2;1;2;177.10121842;3
7567207;1;1;1;193.87002063;4
7567213;1;1;1;61.603215089;3
7567214;1;1;1;89.797401363;5
7567214;2;1;2;89.797401363;6
7567214;3;1;3;89.797401363;7
7567248;1;1;1;195.57500416;3
7567248;2;1;2;195.57500416;4
7567251;1;1;1;87.910002114;4
7567254;1;1;1;112.79535107;3
7567260;1;1;1;81.226183399;4
7567303;1;1;1;124.66045786;4
7567303;2;1;2;124.66045786;5
7567307;1;1;1;128.75831693;3
7567321;1;1;1;93.095432412;5
7567321;2;1;2;93.095432412;6
7567321;3;1;3;93.095432412;7
7567322;1;1;1;85.611915591;2
7567322;2;1;2;85.611915591;3
7567329;1;1;1;240.58730788;1
7567342;1;1;1;304.05335029;3
7567342;2;1;2;304.05335029;4
7567374;1;1;1;373.83986245;3
7567374;2;1;2;373.83986245;4
7567418;1;1;1;141.50582275;4
7567450;1;1;1;500.33378687;2
7567450;2;1;2;500.33378687;3
7567462;1;1;1;76.434774996;4
7567462;2;1;2;76.434774996;5
7567500;1;1;1;37.701408354;3
7567515;1;1;1;45.724277129;3
7567515;2;1;2;45.724277129;4
7567515;3;1;3;45.724277129;5
7567519;1;1;1;34.487714194;2
7567525;1;1;1;20.253438587;3
7567534;1;1;1;18.851322004;4
7567541;1;1;1;18.851322004;4
7567541;2;1;2;18.851322004;5
7567542;1;1;1;101.90674739;3
7567542;2;1;2;101.90674739;4
7567543;1;1;1;21.638635023;3
7567543;2;1;2;21.638635023;4
7567543;3;1;3;21.638635023;6
7567545;1;1;1;48.569850707;2
7567545;2;1;2;48.569850707;3
7567545;3;1;3;48.569850707;4
7567547;1;1;1;40.002553001;4
7567547;2;1;2;40.002553001;5
7567547;3;1;3;40.002553001;6
7567549;1;1;1;19.597451421;5
7567550;1;1;1;19.597451421;2
7567550;2;1;2;19.597451421;3
7567550;3;1;3;19.597451421;4
7567553;1;1;1;19.597451421;3
7567555;1;1;1;165.5947199;2
7567555;2;1;2;165.5947199;3
7567558;1;1;1;55.109622053;3
7567559;1;1;1;38.067527672;3
7567566;1;1;1;15.12627772;3
7567566;2;1;2;15.12627772;4
7567580;1;1;1;30.150240808;3
7567582;1;1;1;32.417048602;3
7567582;2;1;2;32.417048602;4
7567582;3;1;3;32.417048602;5
7567587;1;1;1;36.01280851;3
7567593;1;1;1;23.753815035;1
7567593;2;1;2;23.753815035;2
7567595;1;2;1;54.321622046;2
7567598;1;1;1;59.815270956;3
7567598;2;1;2;59.815270956;4
7567599;1;1;1;52.185267715;3
7567607;1;1;1;28.88902554;3
7567635;1;1;1;162.76157127;3
7567635;2;1;2;162.76157127;4
7567643;1;1;1;192.64693514;3
7567646;1;1;1;146.75180786;1
7567663;1;1;1;202.91608001;2
7567708;2;1;2;157.59124226;4
7567708;1;1;1;157.59124226;3
7567710;1;1;1;208.30656205;2
7567710;2;1;2;208.30656205;3
7567711;1;1;1;205.4103192;3
7567711;2;1;2;205.4103192;4
7567716;1;1;1;188.25210706;3
7567720;1;1;1;140.17366672;2
7567729;1;1;1;163.89287145;2
7567729;2;1;2;163.89287145;3
7567729;3;1;3;163.89287145;4
