DIRECTORIO;FEX_C
7567014;23.740525247
7567016;24.460414599
7567017;43.832757689
7567018;23.740525247
7567027;38.515737378
7567032;18.034648783
7567033;45.252958058
7567034;23.212958019
7567035;35.038477587
7567037;45.712627555
7567038;23.740525247
7567084;272.55790621
7567085;152.04297319
7567093;184.1860469
7567099;181.18910455
7567103;202.08878584
7567105;112.08016638
7567106;188.34757382
7567108;224.98565789
7567111;196.68660743
7567114;202.8146395
7567116;219.48900365
7567118;240.3651305
7567119;231.95856338
7567120;252.08220284
7567121;441.59263365
7567122;245.93645523
7567123;337.07686522
7567126;230.60747787
7567130;372.50489724
7567132;429.18417035
7567133;344.46222412
7567134;373.77181852
7567135;403.72640569
7567136;290.2325415
7567138;238.25223996
7567139;269.90895557
7567142;456.66122529
7567147;201.07423308
7567321;89.910742326
7567322;49.752638405
7567323;249.84424031
7567324;167.75862735
7567326;138.26017324
7567329;240.58730788
7567332;233.02022492
7567334;253.656116
7567335;233.78649202
7567336;214.11251995
7567340;214.11251995
7567341;240.58730788
7567342;304.05335029
7567346;245.58733849
7567347;253.656116
7567349;214.11251995
7567350;228.22683272
7567351;305.31647088
7567356;273.57451936
7567364;305.55606506
7567373;106.7648527
7567374;259.63206202
7567375;241.06791805
7567377;171.30904706
7567379;179.41533837
7567380;99.233329066
7567381;103.0652748
7567382;135.71300568
7567383;189.45766368
7567384;194.72404651
7567385;206.36283133
7567456;41.797099716
7567457;49.333501641
7567459;54.455695705
7567460;52.143948917
7567462;76.434774996
7567463;83.800553662
7567465;41.797099716
7567466;52.099592788
7567468;41.797099716
7567469;38.647649692
7567471;54.839054583
7567472;52.143948917
7567474;85.539406011
7567475;63.640885789
7567476;64.336210667
7567477;68.471852114
7567478;84.398926009
7567479;71.507479209
7567480;71.51997845
7567481;99.571332813
7567483;41.797099716
7567484;64.781365791
7567485;77.569446896
7567486;42.941832991
7567487;96.234102766
7567488;120.132423
7567490;49.621673678
7567491;62.906517097
7567492;30.186794239
7567493;42.64266823
7567494;42.092782924
7567495;46.342030609
7567496;50.420140483
7567497;39.605983865
7567498;69.918424115
7567499;53.665411981
7567500;39.853921699
7567501;60.286139417
7567506;15.069795185
7567507;9.1937267427
7567508;16.561346215
7567509;8.8456972144
7567510;45.542171021
7567511;37.571013669
7567512;40.246533154
7567514;39.292777452
7567515;49.769549514
7567516;21.215300823
7567517;24.346074778
7567518;24.527623427
7567519;21.122113699
7567520;28.097548611
7567521;21.067454099
7567522;24.047971138
7567523;22.194175013
7567524;22.747100135
7567525;33.722190478
7567526;31.187075501
7567527;21.067454099
7567530;21.067454099
7567531;15.468818059
7567532;28.41882731
7567533;22.143062528
7567534;30.320086303
7567535;29.363219513
7567536;20.743597271
7567537;26.647721437
7567539;29.363219513
7567540;46.475654414
7567541;31.276953093
7567542;52.138996259
7567543;50.074919765
7567544;27.516752745
7567545;40.678799624
7567546;40.251225314
7567547;52.163441117
7567548;27.535034341
7567549;30.920235607
7567550;35.601039199
7567551;30.222261117
7567553;29.334199042
7567554;50.287091564
7567555;70.301641476
7567556;65.408241136
7567557;80.321622274
7567558;81.764723146
7567559;51.04342888
7567560;10.950368715
7567561;12.291949848
7567562;8.3872632893
7567563;8.3872632893
7567564;7.798799819
7567565;10.361905245
7567566;7.4646652433
7567567;12.56633115
7567569;11.044075831
7567570;10.708421058
7567572;9.8021365881
7567573;8.1223969073
7567574;9.7142861672
7567576;11.868785874
7567577;9.1977161234
7567578;13.859192149
7567579;11.868785874
7567580;11.523702983
7567581;7.8630593337
7567582;17.450720099
7567583;7.8630593337
7567584;12.789244073
7567585;14.841896316
7567586;15.707913937
7567587;17.052325431
7567588;18.120469691
7567589;21.799938542
7567591;12.849815586
7567592;12.641656284
7567593;12.043921633
7567594;10.484079112
7567595;16.562376309
7567596;14.571429251
7567597;20.081572284
7567598;22.331587628
7567599;27.448539223
7567601;17.671403179
7567602;18.79485975
7567603;24.592569986
7567604;9.1634711091
7567607;18.06040954
7567608;15.530731637
7567888;233.38302108
7567889;357.54557645
7567890;153.87459089
7567891;342.82932265
7567892;285.84466502
7567893;340.2551086
7567894;452.8279782
7567895;237.87848239
7567896;456.9039493
7567897;332.89057513
7567898;291.42031355
7567899;315.55821513
7567900;416.65740556
7567901;274.1819188
7567902;336.17913749
7567903;238.99392384
7567904;187.27370092
7567905;368.27173273
7567906;151.11542625
7568158;152.94444921
7568159;130.37420606
7568160;175.51469237
7568161;176.82350521
7568162;149.45815721
7568163;144.05354436
7568164;167.83206549
