DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P10000;P400;P401;P402;P403;P407S2;P5971;P5971S2;P5971S2A1
7566841;3;1;3;624.29187701;1;3;2;2;2;;;2;
7566841;4;1;4;624.29187701;1;3;2;2;2;;;2;
7566846;5;1;5;581.15552407;4;3;2;2;2;;;2;
7566849;4;1;4;708.9867686;1;3;2;2;2;;;2;
7566849;5;1;5;708.9867686;1;3;2;2;2;;;2;
7566854;3;1;3;571.85577748;3;3;2;2;2;;;2;
7566856;8;1;8;550.79675105;1;3;2;2;2;;;2;
7566857;5;1;5;524.38066409;1;3;2;2;2;;;2;
7566858;3;2;3;509.58281053;2;3;2;2;2;;;2;
7566858;4;2;4;509.58281053;2;3;2;2;2;;;2;
7566860;4;1;4;500.40492218;2;3;2;2;2;;;2;
7566862;4;1;4;551.88746063;4;3;2;2;2;;;2;
7566871;5;1;5;515.16024528;5;3;2;2;2;;;2;
7566871;9;1;9;515.16024528;9;3;2;2;2;;;2;
7566872;5;1;5;827.46585124;4;6;2;2;2;;;2;
7566873;4;1;4;537.96303007;2;3;2;2;2;;;2;
7566875;4;1;4;618.14219746;2;3;2;2;2;;;2;
7566875;8;1;8;618.14219746;6;3;2;2;2;;;2;
7566878;2;2;2;452.80887888;1;3;2;2;2;;;2;
7566879;4;1;4;610.52014497;1;3;2;2;2;;;2;
7566891;4;1;4;835.5281475;2;3;2;2;2;;;2;
7566898;3;1;3;10.173035129;1;3;2;2;2;;;1;3
7566898;4;1;4;10.173035129;1;3;2;2;2;;;2;
7566901;7;1;7;9.12292174;2;3;2;2;2;;;1;2
7566911;2;1;2;86.654491619;1;6;2;2;2;;;2;
7566914;4;1;4;140.34776067;1;3;2;2;2;;;2;
7566928;4;1;4;94.731471753;4;4;2;2;2;;;2;
7566944;5;1;5;140.34776067;1;3;2;2;2;;;1;6
7566944;9;1;9;140.34776067;1;6;2;2;2;;;2;
7566951;3;1;3;51.332238903;1;3;2;2;2;;;2;
7566956;2;1;2;100.67503123;2;4;2;2;2;;;1;8
7566956;3;1;3;100.67503123;3;6;2;2;2;;;2;
7566961;2;1;2;91.493889913;2;3;2;2;2;;;1;7
7566961;3;1;3;91.493889913;3;3;2;2;2;;;2;
7566964;2;1;2;116.25104709;2;3;2;2;2;;;1;14
7566964;3;1;3;116.25104709;3;3;2;2;2;;;2;
7566965;6;1;6;190.47517432;1;3;2;2;2;;;2;
7566969;3;1;3;105.6705797;1;3;2;2;2;;;2;
7566971;2;1;2;77.297833311;1;3;2;2;2;;;1;7
7566984;3;1;3;75.984400535;3;3;2;2;2;;;1;5
7566990;5;1;5;113.24037624;2;3;2;2;2;;;1;5
7566991;4;1;4;97.137057443;2;3;2;2;2;;;2;
7566993;4;1;4;111.98645846;4;4;2;2;2;;;2;
7566994;3;1;3;133.64049542;1;6;2;2;2;;;2;
7566998;4;1;4;122.10675361;4;3;2;2;2;;;2;
7567001;4;1;4;116.80936967;4;3;2;2;2;;;1;14
7567008;3;1;3;69.952183868;1;3;2;2;2;;;1;6
7567010;3;1;3;94.356317221;2;3;2;2;2;;;1;5
7567010;4;1;4;94.356317221;2;3;2;2;2;;;2;
7567012;4;1;4;93.873056824;2;3;2;2;2;;;2;
7567012;5;1;5;93.873056824;2;6;2;2;2;;;2;
7567013;3;1;3;94.356317221;2;3;2;2;2;;;1;4
7567013;4;1;4;94.356317221;2;3;2;2;2;;;2;
7567021;3;1;3;138.6137106;2;3;2;2;2;;;2;
7567037;4;1;4;47.26584381;4;3;2;2;2;;;2;
7567051;3;1;3;110.39519964;1;3;2;2;2;;;2;
7567052;2;1;2;123.2711309;1;3;2;2;2;;;2;
7567054;3;1;3;154.68183243;2;3;2;2;2;;;2;
7567054;4;1;4;154.68183243;2;3;2;2;2;;;2;
7567056;2;1;2;195.99242359;2;3;2;2;2;;;2;
7567056;3;1;3;195.99242359;2;3;2;2;2;;;2;
7567056;4;1;4;195.99242359;1;3;2;2;2;;;2;
7567061;6;1;6;251.76258513;4;6;2;2;2;;;2;
7567062;5;1;5;107.805325;5;4;2;2;2;;;1;3
7567064;3;1;3;181.51868241;2;3;2;2;2;;;2;
7567065;3;1;3;176.76969533;1;3;2;2;2;;;2;
7567068;4;1;4;150.99902706;2;3;2;2;2;;;1;3
7567070;3;1;3;135.5521601;3;3;2;2;2;;;1;6
7567070;4;1;4;135.5521601;1;3;2;2;2;;;2;
7567071;5;1;5;169.31793228;3;3;2;2;2;;;1;2
7567075;4;1;4;133.53567479;1;3;2;2;2;;;2;
7567079;2;1;2;124.33046367;1;3;2;2;2;;;1;4
7567079;3;1;3;124.33046367;1;3;2;2;2;;;2;
7567081;4;1;4;184.02507149;4;3;2;2;2;;;2;
7567083;3;1;3;136.69830491;1;3;2;2;2;;;2;
7567084;3;1;3;336.78232911;1;3;2;2;2;;;2;
7567099;4;1;4;302.31832016;1;3;2;2;2;;;2;
7567111;4;1;4;286.39912106;1;3;2;2;2;;;2;
7567116;2;1;2;272.73488992;1;3;2;2;2;;;2;
7567116;3;1;3;272.73488992;1;3;2;2;2;;;2;
7567120;3;1;3;252.08220284;2;3;2;2;2;;;2;
7567121;3;1;3;441.59263365;2;3;2;2;2;;;2;
7567121;6;1;6;441.59263365;5;3;2;2;2;;;2;
7567123;5;1;5;337.07686522;5;3;2;2;2;;;2;
7567132;5;1;5;429.18417035;5;3;2;2;2;;;2;
7567132;6;1;6;429.18417035;6;3;2;2;2;;;2;
7567132;9;1;9;429.18417035;9;3;2;2;2;;;2;
7567133;4;1;4;344.46222412;4;3;2;2;2;;;2;
7567136;3;1;3;290.2325415;3;3;2;2;2;;;2;
7567142;6;1;6;456.66122529;6;3;2;2;2;;;2;
7567162;4;1;4;148.07267102;4;3;2;2;2;;;2;
7567164;3;1;3;177.1272742;1;3;2;2;2;;;2;
7567183;5;1;5;90.987160213;5;3;2;2;2;;;2;
7567184;6;1;6;109.00792279;6;3;2;2;2;;;2;
7567185;3;1;3;87.473835856;3;3;2;2;2;;;2;
7567187;4;1;4;113.02315034;4;3;2;2;2;;;2;
7567193;2;1;2;173.63598974;2;3;2;2;2;;;2;
7567194;3;1;3;244.80089045;1;3;2;2;2;;;2;
7567196;5;1;5;232.1774559;5;3;2;2;2;;;2;
7567196;6;1;6;232.1774559;6;3;2;2;2;;;2;
7567200;3;1;3;196.98434309;2;3;2;2;2;;;2;
7567203;4;1;4;151.96838537;4;3;2;2;2;;;2;
7567206;3;1;3;177.10121842;3;3;2;2;2;;;2;
7567207;4;1;4;193.87002063;4;3;2;2;2;;;2;
7567212;3;1;3;247.61722492;3;3;2;2;2;;;2;
7567212;4;1;4;247.61722492;4;3;2;2;2;;;2;
7567214;6;1;6;89.797401363;2;4;2;2;2;;;1;14
7567214;7;1;7;89.797401363;2;3;2;2;2;;;1;4
7567216;3;1;3;74.095394472;3;3;2;2;2;;;2;
7567232;3;1;3;223.73040482;1;6;2;2;2;;;2;
7567234;4;1;4;131.84929979;1;3;2;2;2;;;2;
7567238;4;1;4;155.04400203;4;3;2;2;2;;;2;
7567239;3;1;3;176.01750374;1;3;2;2;2;;;2;
7567239;4;1;4;176.01750374;1;3;2;2;2;;;2;
7567243;3;1;3;182.38401538;3;3;2;2;2;;;2;
7567248;3;1;3;195.57500416;1;3;2;2;2;;;2;
7567253;3;1;3;110.52889005;3;3;2;2;2;;;2;
7567254;3;1;3;112.79535107;2;3;2;2;2;;;1;3
7567256;3;1;3;145.2707399;1;3;2;2;2;;;2;
7567258;6;1;6;89.638182126;6;3;2;2;2;;;2;
7567268;2;1;2;93.529713234;1;3;2;2;2;;;2;
7567274;3;1;3;120.57697097;2;4;2;2;2;;;2;
7567283;3;1;3;22.201088291;1;3;2;2;2;;;2;
7567285;4;1;4;16.461384534;3;3;2;2;2;;;2;
7567285;5;1;5;16.461384534;3;3;2;2;2;;;2;
7567286;4;1;4;21.860728031;3;3;2;2;2;;;2;
7567288;6;1;6;33.288969908;4;3;2;2;2;;;2;
7567290;3;1;3;22.879260536;1;3;2;2;2;;;2;
7567292;4;1;4;25.608407056;2;3;2;2;2;;;2;
7567296;3;1;3;17.979536174;2;3;2;2;2;;;1;2
7567303;5;1;5;124.66045786;1;3;2;2;2;;;2;
7567305;4;1;4;140.86091839;3;3;2;2;2;;;2;
7567306;2;1;2;185.95076225;2;3;2;2;2;;;1;1
7567306;3;1;3;185.95076225;3;3;2;2;2;;;2;
7567310;4;1;4;140.73499166;4;3;2;2;2;;;1;2
7567315;3;1;3;65.42222817;2;3;2;2;2;;;1;3
7567321;5;1;5;93.095432412;3;3;2;2;2;;;1;2
7567321;6;1;6;93.095432412;3;6;2;2;2;;;2;
7567342;3;1;3;304.05335029;3;3;2;2;2;;;2;
7567342;4;1;4;304.05335029;4;3;2;2;2;;;2;
7567346;3;1;3;245.58733849;3;3;2;2;2;;;2;
7567356;3;1;3;273.57451936;1;6;2;2;2;;;2;
7567374;3;1;3;373.83986245;2;3;2;2;2;;;2;
7567375;5;1;5;351.84516088;2;3;2;2;2;;;1;5
7567383;3;1;3;258.43306149;2;3;2;2;2;;;2;
7567384;3;1;3;280.37989684;2;3;2;2;2;;;1;2
7567384;4;1;4;280.37989684;2;3;2;2;2;;;2;
7567385;5;1;5;274.19857582;3;3;2;2;2;;;2;
7567387;3;1;3;300.20965943;2;3;2;2;2;;;2;
7567390;3;1;3;245.46297772;1;3;2;2;2;;;2;
7567393;4;1;4;113.2046582;3;3;2;2;2;;;2;
7567397;3;1;3;226.7969023;3;3;2;2;2;;;1;3
7567398;2;1;2;350.46716665;2;3;2;2;2;;;2;
7567399;4;1;4;242.75485991;1;3;2;2;2;;;1;8
7567399;5;1;5;242.75485991;3;6;2;2;2;;;2;
7567414;4;1;4;273.11237757;2;3;2;2;2;;;2;
7567418;4;1;4;141.50582275;2;3;2;2;2;;;2;
7567446;4;1;4;902.11478128;1;3;2;2;2;;;2;
7567451;4;1;4;827.07359582;3;3;2;2;2;;;2;
7567455;7;1;7;608.42767923;7;3;2;2;2;;;2;
7567463;3;1;3;83.800553662;3;3;2;2;2;;;2;
7567475;2;1;2;63.640885789;2;3;2;2;2;;;1;2
7567485;4;1;4;77.569446896;4;3;2;2;2;;;2;
7567488;4;1;4;120.132423;4;3;2;2;2;;;2;
7567494;2;1;2;42.092782924;2;3;2;2;2;;;2;
7567495;3;1;3;46.342030609;1;5;;;;;;2;
7567496;4;1;4;50.420140483;4;3;2;2;2;;;2;
7567500;3;1;3;37.701408354;1;3;2;2;2;;;2;
7567506;3;1;3;15.83412596;1;3;2;2;2;;;2;
7567508;3;1;3;34.452964816;3;3;2;2;2;;;2;
7567508;4;1;4;34.452964816;4;3;2;2;2;;;2;
7567510;3;1;3;83.652028945;3;4;2;2;2;;;1;4
7567511;3;1;3;29.753641552;3;6;2;2;2;;;2;
7567515;4;1;4;45.724277129;4;3;2;2;2;;;1;2
7567525;3;1;3;20.253438587;1;5;;;;;;2;
7567526;3;1;3;32.931174298;3;3;2;2;2;;;2;
7567534;4;1;4;18.851322004;4;3;2;2;2;;;1;4
7567537;3;1;3;18.851322004;2;3;2;2;2;;;2;
7567540;4;1;4;98.026874418;4;3;2;2;2;;;2;
7567541;5;1;5;18.851322004;1;3;2;2;2;;;1;5
7567543;3;1;3;21.638635023;3;3;2;2;2;;;2;
7567543;6;1;6;21.638635023;6;3;2;2;2;;;2;
7567543;7;1;7;21.638635023;7;6;2;2;2;;;2;
7567547;4;1;4;40.002553001;4;3;2;2;2;;;1;4
7567547;5;1;5;40.002553001;5;3;2;2;2;;;1;2
7567550;4;1;4;19.597451421;4;3;2;2;2;;;2;
7567558;3;1;3;55.109622053;3;3;2;2;2;;;2;
7567561;4;1;4;32.160256862;2;3;2;2;2;;;2;
7567582;3;1;3;32.417048602;3;3;2;2;2;;;1;4
7567582;4;1;4;32.417048602;4;3;2;2;2;;;1;5
7567587;3;1;3;36.01280851;3;3;2;2;2;;;2;
7567593;3;1;3;23.753815035;1;3;2;2;2;;;1;6
7567595;3;2;3;54.321622046;2;6;2;2;2;;;2;
7567598;4;1;4;59.815270956;2;3;2;2;2;;;1;5
7567599;3;1;3;52.185267715;1;3;2;2;2;;;2;
7567602;3;1;3;49.437365519;2;3;2;2;2;;;2;
