DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P8692S3A1
7566856;1;1;1;550.79675105;1
7566856;2;1;2;550.79675105;3
7566856;3;1;3;550.79675105;5
7566866;1;1;1;694.52070359;1
7566866;2;1;2;694.52070359;2
7566870;1;1;1;694.52070359;1
7566870;2;1;2;694.52070359;2
7566891;1;1;1;835.5281475;1
7566891;2;1;2;835.5281475;2
7566894;1;1;1;313.07008566;1
7566894;2;1;2;313.07008566;2
7566901;1;1;1;9.12292174;1
7566901;2;1;2;9.12292174;2
7567120;1;1;1;252.08220284;1
7567120;2;1;2;252.08220284;2
7567189;1;1;1;75.958713441;1
7567189;2;1;2;75.958713441;2
7567242;1;1;1;112.8485024;1
7567242;2;1;2;112.8485024;2
7567287;1;1;1;18.921550102;1
7567287;2;1;2;18.921550102;2
7567295;2;1;2;10.458243261;2
7567295;1;1;1;10.458243261;1
7567324;1;1;1;167.75862735;1
7567324;2;1;2;167.75862735;2
7567334;1;1;1;253.656116;1
7567334;2;1;2;253.656116;2
7567392;1;1;1;295.77716327;1
7567392;2;1;2;295.77716327;2
7567440;1;1;1;1498.0488607;1
7567440;2;1;2;1498.0488607;2
7567451;1;1;1;827.07359582;1
7567451;2;1;2;827.07359582;2
7567472;1;1;1;52.143948917;1
7567472;2;1;2;52.143948917;2
7567485;1;1;1;77.569446896;1
7567485;2;1;2;77.569446896;2
7567491;1;1;1;62.906517097;1
7567491;2;1;2;62.906517097;2
7567569;1;1;1;32.562314798;1
7567569;2;1;2;32.562314798;2
7567580;1;1;1;30.150240808;1
7567580;2;1;2;30.150240808;2
7567610;1;1;1;151.1883466;1
7567610;2;1;2;151.1883466;2
7567613;1;1;1;246.97191327;1
7567613;2;1;2;246.97191327;2
7567631;1;1;1;136.40039017;1
7567631;2;1;2;136.40039017;2
7567649;1;1;1;127.56445643;1
7567649;2;1;2;127.56445643;3
7567657;1;1;1;135.78512365;1
7567657;2;1;2;135.78512365;2
7567681;1;1;1;234.68103449;1
7567681;2;1;2;234.68103449;2
7567694;1;1;1;192.75770125;1
7567694;2;1;2;192.75770125;2
7567698;1;1;1;289.80004952;1
7567698;2;1;2;289.80004952;2
7567722;1;1;1;165.5638873;1
7567722;2;1;2;165.5638873;2
7567734;1;1;1;91.195350503;1
7567734;2;1;2;91.195350503;2
7567734;3;1;3;91.195350503;3
7567735;1;1;1;102.49966691;1
7567735;2;1;2;102.49966691;2
7567735;3;1;3;102.49966691;3
7567736;1;1;1;124.89113887;1
7567736;2;1;2;124.89113887;2
7567738;1;1;1;134.63110484;1
7567738;2;1;2;134.63110484;2
7567739;5;1;5;117.93106138;5
7567739;1;1;1;117.93106138;1
7567739;2;1;2;117.93106138;2
7567739;3;1;3;117.93106138;3
7567739;4;1;4;117.93106138;4
7567743;1;1;1;111.19943059;1
7567743;2;1;2;111.19943059;2
7567743;3;1;3;111.19943059;3
7567743;4;1;4;111.19943059;4
7567743;5;1;5;111.19943059;5
7567743;6;1;6;111.19943059;6
7567746;1;1;1;99.31655126;1
7567746;2;1;2;99.31655126;2
7567757;1;1;1;173.4143215;1
7567757;2;1;2;173.4143215;2
7567821;1;1;1;53.07789813;1
7567821;2;1;2;53.07789813;2
7567836;1;1;1;420.11474426;1
