"","DIRECTORIO","SECUENCIA_P","moda_estado","madres_jovenes"
"1",7566839,1,1,0
"2",7566840,1,2,0
"3",7566841,1,1,0
"4",7566842,1,1,0
"5",7566843,1,2,1
"6",7566844,1,1,0
"7",7566845,1,2,0
"8",7566846,1,2,0
"9",7566847,1,2,1
"10",7566848,1,2,0
"11",7566849,1,1,0
"12",7566850,1,2,0
"13",7566852,1,2,0
"14",7566853,1,2,0
"15",7566854,1,2,0
"16",7566855,1,2,0
"17",7566856,1,2,0
"18",7566857,1,2,0
"19",7566858,1,1,0
"20",7566858,2,1,0
"21",7566859,1,2,0
"22",7566860,1,2,0
"23",7566861,1,1,1
"24",7566862,1,2,0
"25",7566864,1,2,0
"26",7566865,1,3,0
"27",7566866,1,2,0
"28",7566869,1,2,0
"29",7566870,1,2,0
"30",7566871,1,2,2
"31",7566872,1,2,3
"32",7566873,1,2,0
"33",7566874,1,2,1
"34",7566875,1,2,0
"35",7566876,1,2,1
"36",7566877,1,2,1
"37",7566878,1,2,1
"38",7566878,2,1,1
"39",7566879,1,1,2
"40",7566880,1,2,1
"41",7566885,1,2,1
"42",7566886,1,2,0
"43",7566887,1,2,0
"44",7566888,1,1,0
"45",7566890,1,1,0
"46",7566891,1,2,0
"47",7566894,1,1,0
"48",7566895,1,1,1
"49",7566896,1,2,0
"50",7566897,1,2,1
"51",7566898,1,2,1
"52",7566900,1,2,0
"53",7566901,1,2,1
"54",7566902,1,2,0
"55",7566907,1,2,1
"56",7566909,1,2,1
"57",7566911,1,2,1
"58",7566914,1,2,0
"59",7566917,1,2,1
"60",7566924,1,2,1
"61",7566925,1,2,0
"62",7566927,1,2,1
"63",7566928,1,2,1
"64",7566930,1,2,1
"65",7566931,1,1,0
"66",7566937,1,2,1
"67",7566938,1,2,1
"68",7566939,1,2,0
"69",7566940,1,2,0
"70",7566941,1,2,0
"71",7566942,1,2,1
"72",7566943,1,2,0
"73",7566944,1,2,1
"74",7566948,1,2,1
"75",7566949,1,2,1
"76",7566950,1,2,0
"77",7566951,1,2,1
"78",7566953,1,2,1
"79",7566954,1,2,0
"80",7566955,1,2,1
"81",7566956,1,2,1
"82",7566957,1,2,1
"83",7566958,1,2,1
"84",7566959,1,2,0
"85",7566961,1,2,1
"86",7566963,1,2,1
"87",7566964,1,2,1
"88",7566965,1,2,0
"89",7566966,1,1,0
"90",7566967,1,2,0
"91",7566968,1,1,0
"92",7566969,1,2,0
"93",7566971,1,2,0
"94",7566981,1,1,0
"95",7566982,1,2,0
"96",7566983,1,1,0
"97",7566984,1,2,1
"98",7566986,1,2,1
"99",7566988,1,2,0
"100",7566989,1,2,0
"101",7566990,1,2,0
"102",7566991,1,2,0
"103",7566992,1,2,1
"104",7566993,1,2,1
"105",7566994,1,2,0
"106",7566995,1,2,0
"107",7566998,1,2,1
"108",7567000,1,2,1
"109",7567001,1,2,1
"110",7567002,1,2,2
"111",7567005,1,2,0
"112",7567007,1,1,2
"113",7567008,1,2,0
"114",7567009,1,2,0
"115",7567010,1,2,1
"116",7567012,1,1,1
"117",7567013,1,2,1
"118",7567014,1,2,0
"119",7567016,1,2,1
"120",7567017,1,1,0
"121",7567018,1,2,1
"122",7567019,1,2,0
"123",7567021,1,2,1
"124",7567022,1,2,1
"125",7567027,1,2,0
"126",7567030,1,2,0
"127",7567032,1,2,1
"128",7567033,1,2,2
"129",7567034,1,3,1
"130",7567035,1,2,0
"131",7567037,1,2,0
"132",7567038,1,2,0
"133",7567040,1,2,0
"134",7567041,1,1,0
"135",7567047,1,2,0
"136",7567049,1,2,1
"137",7567051,1,1,1
"138",7567052,1,2,1
"139",7567053,1,2,1
"140",7567054,1,1,1
"141",7567055,1,2,1
"142",7567056,1,2,1
"143",7567061,1,2,3
"144",7567062,1,1,0
"145",7567063,1,2,1
"146",7567064,1,2,1
"147",7567065,1,2,1
"148",7567066,1,2,1
"149",7567067,1,1,0
"150",7567068,1,1,1
"151",7567069,1,2,1
"152",7567070,1,1,1
"153",7567071,1,2,0
"154",7567072,1,2,1
"155",7567075,1,2,0
"156",7567078,1,2,1
"157",7567079,1,2,0
"158",7567081,1,2,2
"159",7567083,1,2,1
"160",7567084,1,2,0
"161",7567085,1,2,1
"162",7567090,1,2,1
"163",7567091,1,3,1
"164",7567093,1,1,0
"165",7567099,1,2,0
"166",7567103,1,2,0
"167",7567105,1,2,0
"168",7567106,1,2,1
"169",7567108,1,2,1
"170",7567111,1,2,1
"171",7567114,1,2,1
"172",7567116,1,2,0
"173",7567118,1,2,0
"174",7567119,1,2,0
"175",7567120,1,2,1
"176",7567121,1,2,0
"177",7567122,1,2,0
"178",7567123,1,2,0
"179",7567126,1,2,0
"180",7567130,1,2,1
