"","DIRECTORIO","SECUENCIA_P","CLASE","CANT_HOGARES_VIVIENDA","P2102","P1070","P4005","P4015","P4567","P8520S1A1","P8520S5","P8520S3","P8520S4"
"1",7566839,1,1,1,4,2,1,4,1,2,1,1,1
"2",7566840,1,1,1,4,2,1,4,3,3,1,1,1
"3",7566841,1,1,1,2,1,1,4,3,3,1,1,1
"4",7566842,1,1,1,2,2,1,4,3,2,1,1,1
"5",7566843,1,1,1,4,1,1,4,3,2,1,1,1
"6",7566844,1,1,1,4,2,1,4,1,2,1,1,1
"7",7566845,1,1,1,4,2,1,6,3,2,1,1,1
"8",7566846,1,1,1,1,1,1,6,3,2,1,1,1
"9",7566847,1,1,1,1,1,1,6,3,2,1,1,1
"10",7566848,1,1,1,4,2,1,4,3,2,1,1,1
"11",7566849,1,1,1,2,1,1,4,3,3,1,1,1
"12",7566850,1,1,1,2,2,1,4,3,2,1,1,1
"13",7566852,1,1,1,4,1,1,4,3,3,1,1,1
"14",7566853,1,1,1,4,2,1,4,1,2,1,1,1
"15",7566854,1,1,1,2,2,1,4,3,2,1,1,1
"16",7566855,1,1,1,2,1,1,4,3,2,1,1,1
"17",7566856,1,1,1,4,1,1,4,3,2,1,1,1
"18",7566857,1,1,1,4,1,1,4,3,3,1,1,1
"19",7566858,1,1,2,4,2,1,4,3,2,1,1,1
"20",7566859,1,1,1,4,2,1,6,3,2,1,1,1
"21",7566860,1,1,1,4,1,1,4,3,2,1,1,1
"22",7566861,1,1,1,4,2,1,4,3,2,1,1,1
"23",7566862,1,1,1,4,2,1,4,3,3,1,1,1
"24",7566864,1,1,1,4,2,1,4,3,2,1,1,1
"25",7566865,1,1,1,2,1,1,4,3,2,1,1,1
"26",7566866,1,1,1,4,1,1,4,3,2,1,1,1
"27",7566869,1,1,1,4,1,1,4,3,2,1,1,1
"28",7566870,1,1,1,3,1,1,6,3,1,1,1,1
"29",7566871,1,1,1,1,1,1,4,3,1,1,1,1
"30",7566872,1,1,1,3,2,1,4,3,1,1,1,1
"31",7566873,1,1,1,4,1,1,4,3,1,1,1,1
"32",7566874,1,1,1,2,1,1,4,3,1,1,1,1
"33",7566875,1,1,1,4,1,1,4,3,1,1,1,1
"34",7566876,1,1,1,3,1,1,6,3,1,1,1,1
"35",7566877,1,1,1,2,1,1,6,3,1,1,1,1
"36",7566878,1,1,2,4,1,1,4,3,1,1,1,1
"37",7566879,1,1,1,2,1,1,6,3,1,1,1,1
"38",7566880,1,1,1,3,1,1,6,3,1,1,1,1
"39",7566885,1,1,1,3,2,1,4,3,1,1,1,1
"40",7566886,1,1,1,2,2,1,4,1,2,1,1,1
"41",7566887,1,1,1,3,2,1,6,3,1,1,1,1
"42",7566888,1,1,1,3,2,1,6,3,1,1,1,1
"43",7566890,1,1,1,4,1,1,4,3,1,1,1,1
"44",7566891,1,1,1,4,1,1,4,3,2,1,1,1
"45",7566894,1,1,1,4,2,1,4,1,4,1,1,1
"46",7566895,1,2,1,1,1,5,7,7,0,2,2,2
"47",7566896,1,2,1,1,3,5,7,5,NA,2,2,2
"48",7566897,1,2,1,1,1,5,1,4,0,2,2,2
"49",7566898,1,2,1,1,1,5,7,4,0,2,2,2
"50",7566900,1,2,1,1,1,5,6,4,NA,2,2,2
"51",7566901,1,2,1,1,1,1,6,4,8,2,2,2
"52",7566902,1,2,1,1,5,9,7,4,0,1,2,2
"53",7566907,1,1,1,3,1,1,6,3,2,1,1,1
"54",7566909,1,1,1,3,1,1,4,3,2,1,1,1
"55",7566911,1,1,1,3,2,1,6,4,1,1,1,1
"56",7566914,1,1,1,3,1,1,6,3,1,1,1,1
"57",7566917,1,1,1,1,3,3,7,4,9,1,2,1
"58",7566924,1,1,1,3,1,1,6,4,9,1,2,1
"59",7566925,1,1,1,3,3,5,7,4,1,1,2,1
"60",7566927,1,1,1,3,1,1,6,4,9,1,2,1
"61",7566928,1,1,1,4,2,1,6,4,1,1,1,1
"62",7566930,1,1,1,3,1,1,6,3,1,1,2,1
"63",7566931,1,1,1,1,1,1,6,3,1,1,2,1
"64",7566937,1,1,1,3,1,1,6,3,1,1,2,1
"65",7566938,1,1,1,3,1,1,4,4,1,1,2,1
"66",7566939,1,1,1,1,1,1,6,4,1,1,1,1
"67",7566940,1,1,1,1,2,1,4,3,1,1,2,1
"68",7566941,1,1,1,3,1,1,4,4,1,1,2,1
"69",7566942,1,1,1,1,1,1,7,3,1,1,2,1
"70",7566943,1,1,1,4,1,9,7,4,1,1,1,1
"71",7566944,1,1,1,3,1,1,4,3,1,1,1,1
"72",7566948,1,1,1,3,1,1,4,3,1,1,2,1
"73",7566949,1,1,1,3,1,1,6,3,1,1,2,1
"74",7566950,1,1,1,3,3,1,6,4,1,1,2,1
"75",7566951,1,1,1,1,1,1,6,3,1,1,2,1
"76",7566953,1,1,1,1,1,5,7,4,1,1,2,1
"77",7566954,1,1,1,3,3,9,7,7,1,1,2,1
